name,status
Kingdoms of Amalur Reckoning,bought
Persona 3,finished
Persona 4,bought
Persona 5,finished
Persona 5 Strikers,finished
Metaphor ReFantazio,not started
Beholder,bought
Pathologic,bought
Pathologic 2,not started
Noita,bought
Sleeping Dogs,bought
Darksiders, finished
Darksiders II,not started
Darksiders III,not started
Darksiders Genesis,not started
Sang-Froid - Tales of Werewolves,bought
Ori and the Blind Forest,finished
Ori and the Will of the Wisps,bought
Mortal Shell,bought
The Banners Saga,finished
The Banners Saga 2,bought
The Banners Saga 3,bought
Pathfinder Kingmaker,finished
Pathfinder Wrath of the Righteous,bought
Warhammer 40000 Rogue Trader,finished
Cruelty Squad,bought
Unsighted,bought
Before Your Eyes,finished
Signalis,bought
Arx Fatalis,bought
Divine Divinity,bought
Beyond Divinity,bought
Divinity 2,finished
Divinity Dragon Commander,finished
Divinity Original Sin,finished
Divinity Original Sin 2,finished
Baldurs Gate 3,finished
Darkest Dungeon,bought
Darkest Dungeon 2,not started
The Occupation,bought
Dark Souls,finished
Dark Souls II,bought
Dark Souls III,not started
Bloodborne,not started
Sekiro Shadows Die Twice,not started
Elden Ring,not started
Armored Core VI Fires of Rubicon,not started
The Elder Scrolls III Morrowind,finished
The Elder Scrolls IV Oblivion,finished
The Elder Scrolls V Skyrim,finished
Assassins Creed II, finished
Assassins Creed Brotherhood, finished
Assassins Creed Revelations, finished
Assassins Creed III, finished
Assassins Creed IV Black Flag, finished
Assassins Creed Unity, finished
The Witcher,finished
The Witcher 2 Assassins of Kings,finished
The Witcher 3 Wild Hunt,finished
System Shock,finished
Neon White,finished
Life Is Strange,finished
Life Is Strange Before the Storm,finished
The Awesome Adventures of Captain Spirit,finished
Life Is Strange 2,not started
Life Is Strange True Colors,not started
Life Is Strange Double Exposure,not started
Pyre,finished
Fallout 3,finished
Fallout New Vegas,finished
Fallout 4,finished
The Beginners Guid,finished
Stanleys Parable,finished
Backpack Battles,finished
Far Cry 3,finished
Star Wars Knight of the Old Republic,finished
Star Wars Knight of the Old Republic 2 The Sith Lords,finished
The Outer Worlds,finished
Child of Light,finished
Gothic,not started
Arcania,finished
Fable Anniversary,finished
Tekken 6,finished
Tekken 7,finished
Tekken Tag Tournament 2,finished
Tekken 8,finished
Mortal Kombat 9,finished
Mortal Kombat 10,finished
Mortal Kombat 11,finished
Mortal Kombat One,not started
Guilty Gear, finished
Guilty Gear Xrd, finished
Guilty Gear Strive, finished
A Short Hike,finished
Citizen Sleeper,finished
Citizen Sleeper 2 Starward Vector,finished
Psychonauts,finished
Psychonauts 2,finished
Teardown,finished
Wildermyth,finished
Doki Doki Literature Club,finished
Gris,finished
Disco Elysium,finished
Solasta Crown of the Magister,bought
Pillars of Eternity,finished
Pillars of Eternity II Deadfire,finished
Dishonored,finished
Dishonored 2,finished
Dishonored Death of the Outsider,finished
Prey,finished
Deathloop,finished
Batman Arkham City,finished
Batman Arkham Knight,finished
Aliens Colonial Marines,finished
Aliens vs Predator,finished
Planescape Torment,finished
Atomic Heart,finished
Pentiment,finished
Nier Replicant,finished
Nier Automata,not started
Furi,finished
Devil May Cry,finished
Devil May Cry 3,finished
Devil May Cry 4,finished
Devil May Cry 5,finished
Deus Ex,bought
Deus Ex Invisible War,bought
Deus Ex Human Revolution,finished
Deus Ex The Fall,bought
Deus Ex Mankind Divided,finished
Injustice Gods Among Us,finished
